"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Last_Update"
"03-06-2020","1","1","0","0","0","0","0","712","","","","","","","","100","0.14044943820225","2020-03-06 15:05:00"
"03-07-2020","1","1","0","0","0","0","0","744","","","","","","","","100","0.13440860215054","No official report"
"03-08-2020","1","1","0","0","0","0","0","815","","","","","","","","100","0.12269938650307","No official report"
"03-09-2020","3","3","0","0","0","0","0","856","","","","","","","","100","0.35046728971963","2020-03-09 07:26:00"
"03-10-2020","3","3","0","0","0","0","0","981","","","","","","","","100","0.30581039755352","No official report"
"03-11-2020","9","9","0","0","0","0","0","1169","","","","","","","","100","0.76988879384089","2020-03-11 08:35:00"
"03-12-2020","14","14","0","0","0","0","0","1479","","","","","","","","100","0.94658553076403","No official report"
"03-13-2020","18","19","0","1","1","0","0","1798","","","5.2631578947368","","","","5.2631578947368","94.736842105263","1.0567296996663","2020-03-13 09:07:00"
"03-14-2020","35","37","0","2","1","0","0","2141","","","2.7027027027027","","","","5.4054054054054","94.594594594595","1.7281644091546","2020-03-14 09:30:00"
"03-15-2020","51","54","0","3","3","0","0","2350","","","5.5555555555556","","","","5.5555555555556","94.444444444444","2.2978723404255","2020-03-15 09:08:00"
"03-16-2020","63","67","1","3","3","0","0","2680","","","4.4776119402985","","","1.4925373134328","4.4776119402985","94.029850746269","2.5","2020-03-16 08:39:00"
"03-17-2020","87","92","1","4","7","0","0","3123","","","7.6086956521739","","","1.0869565217391","4.3478260869565","94.565217391304","2.9458853666346","2020-03-17 08:38:00"
"03-18-2020","99","104","1","4","8","0","1","3708","1","0.96153846153846","7.6923076923077","","0.96153846153846","0.96153846153846","3.8461538461538","95.192307692308","2.8047464940669","2020-03-18 09:07:00"
"03-19-2020","124","130","1","5","13","0","1","4353","1","0.76923076923077","10","","0.76923076923077","0.76923076923077","3.8461538461538","95.384615384615","2.9864461291064","2020-03-19 09:51:00"
"03-20-2020","171","178","1","6","22","1","1","4911","2","1.123595505618","12.359550561798","0.56179775280899","0.56179775280899","0.56179775280899","3.3707865168539","96.067415730337","3.6245163917736","2020-03-20 11:01:00"
"03-21-2020","201","212","1","10","27","1","2","5502","3","1.4150943396226","12.735849056604","0.47169811320755","0.94339622641509","0.47169811320755","4.7169811320755","94.811320754717","3.8531443111596","2020-03-21 11:13:00"
"03-22-2020","226","241","2","13","34","1","2","6542","3","1.2448132780083","14.107883817427","0.4149377593361","0.8298755186722","0.8298755186722","5.3941908713693","93.775933609958","3.6838887190462","2020-03-22 10:17:00"
"03-23-2020","289","314","3","22","44","1","3","7546","4","1.2738853503185","14.012738853503","0.31847133757962","0.95541401273885","0.95541401273885","7.0063694267516","92.03821656051","4.1611449774715","2020-03-23 11:23:00"
