"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","Hospital_Beds_Utilisation","ICU_Beds_Utilisation","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Mortality_Rate","Morbidity_Rate","Ro_Index","Forecasts","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"03-06-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-06 15:05:00"
"03-07-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","",""
"03-08-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","",""
"03-09-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-09 07:26:00"
"03-10-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","",""
"03-11-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-11 08:35:00"
"03-12-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","",""
"03-13-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-13 09:07:00"
"03-14-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-14 09:30:00"
"03-15-2020","0","0","0","0","0","0","0","","0.000","0.000","0","","","","","","","","","0.0000000","","","","","","2020-03-15 09:08:00"
"03-16-2020","2","2","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","1.000","","","637125","","2020-03-16 08:39:00"
"03-17-2020","2","2","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","2","637125","","2020-03-17 08:38:00"
"03-18-2020","2","2","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","2","637125","","2020-03-18 09:07:00"
"03-19-2020","5","5","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.600","2.500","8","254850","","2020-03-19 09:51:00"
"03-20-2020","5","5","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","7","254850","","2020-03-20 11:01:00"
"03-21-2020","7","7","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.286","1.400","10","182036","","2020-03-21 11:13:00"
"03-22-2020","7","7","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","9","182036","","2020-03-22 10:17:00"
"03-23-2020","7","7","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","9","182036","","2020-03-23 11:23:00"
"03-24-2020","7","9","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.222","0.778","","0.0000000","0.222","1.286","11","141583","","2020-03-24 17:02:00"
"03-25-2020","9","12","0","3","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.250","0.750","","0.0000000","0.250","1.333","15","106188","","2020-03-25 13:39:00"
"03-26-2020","9","12","0","3","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.250","0.750","","0.0000000","0.000","1.000","15","106188","","2020-03-26 14:20:00"
"03-27-2020","9","13","0","4","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.308","0.692","","0.0000000","0.077","1.083","16","98019","","2020-03-27 14:33:00"
"03-28-2020","11","16","0","5","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.313","0.688","","0.0000000","0.188","1.231","20","79641","","2020-03-28 12:48:00"
"03-29-2020","14","20","0","6","0","1","0","","0.000","0.000","1","0.050","0.000","0.050","0.000","0.000","0.300","0.700","","0.0000000","0.200","1.250","25","63713","","2020-03-29 14:14:00"
"03-30-2020","11","21","0","10","0","1","0","","0.000","0.000","1","0.048","0.000","0.048","0.000","0.000","0.476","0.524","","0.0000000","0.048","1.050","26","60679","","2020-03-30 13:19:00"
"03-31-2020","18","29","0","11","0","1","0","","0.000","0.000","1","0.034","0.000","0.034","0.000","0.000","0.379","0.621","","0.0000000","0.276","1.381","36","43940","","2020-03-31 14:15:00"
"04-01-2020","20","31","0","11","0","1","0","","0.000","0.000","1","0.032","0.000","0.032","0.000","0.000","0.355","0.645","","0.0000000","0.065","1.069","39","41105","","2020-04-01 13:10:00"
"04-02-2020","14","31","1","16","0","1","0","","0.000","0.000","1","0.032","0.000","0.032","0.000","0.032","0.516","0.452","","0.0078478","0.000","1.000","36","41105","1274250","2020-04-02 13:40:00"
"04-03-2020","20","40","2","18","0","1","0","","0.000","0.000","1","0.025","0.000","0.025","0.000","0.050","0.450","0.500","","0.0156955","0.225","1.290","47","31856","637125","2020-04-03 15:13:00"
"04-04-2020","16","40","2","22","0","1","0","","0.000","0.000","1","0.025","0.000","0.025","0.000","0.050","0.550","0.400","","0.0156955","0.000","1.000","46","31856","637125","2020-04-04 14:30:00"
"04-05-2020","18","42","2","22","0","1","0","","0.000","0.000","1","0.024","0.000","0.024","0.000","0.048","0.524","0.429","","0.0156955","0.048","1.050","48","30339","637125","2020-04-05 12:28:00"
"04-06-2020","18","43","2","23","0","1","0","","0.000","0.000","1","0.023","0.000","0.023","0.000","0.047","0.535","0.419","","0.0156955","0.023","1.024","49","29634","637125","2020-04-06 15:31:00"
"04-07-2020","21","46","2","23","0","1","0","","0.000","0.000","1","0.022","0.000","0.022","0.000","0.043","0.500","0.457","","0.0156955","0.065","1.070","52","27701","637125","2020-04-07 15:41:00"
"04-08-2020","20","49","2","27","0","1","0","","0.000","0.000","1","0.020","0.000","0.020","0.000","0.041","0.551","0.408","","0.0156955","0.061","1.065","54","26005","637125","2020-04-08 15:35:00"
"04-09-2020","25","55","3","27","0","1","0","","0.000","0.000","1","0.018","0.000","0.018","0.000","0.055","0.491","0.455","","0.0235433","0.109","1.122","62","23168","424750","2020-04-09 16:01:00"
"04-10-2020","30","60","3","27","3","1","0","","0.000","0.000","1","0.017","0.050","0.017","0.000","0.050","0.450","0.500","","0.0235433","0.083","1.091","67","21238","424750","2020-04-10 16:05:00"
"04-11-2020","34","64","3","27","6","1","0","","0.000","0.000","1","0.016","0.094","0.016","0.000","0.047","0.422","0.531","","0.0235433","0.063","1.067","71","19910","424750","2020-04-11 17:27:00"
"04-12-2020","35","66","3","28","7","1","0","","0.000","0.000","1","0.015","0.106","0.015","0.000","0.045","0.424","0.530","","0.0235433","0.030","1.031","72","19307","424750","2020-04-12 15:47:00"
"04-13-2020","36","67","3","28","8","1","0","","0.000","0.000","1","0.015","0.119","0.015","0.000","0.045","0.418","0.537","","0.0235433","0.015","1.015","73","19019","424750","2020-04-13 17:21:00"
"04-14-2020","38","69","3","28","9","1","0","","0.000","0.000","1","0.014","0.130","0.014","0.000","0.043","0.406","0.551","","0.0235433","0.029","1.030","74","18467","424750","2020-04-14 16:26:00"
"04-15-2020","38","69","3","28","9","1","0","","0.000","0.000","1","0.014","0.130","0.014","0.000","0.043","0.406","0.551","","0.0235433","0.000","1.000","73","18467","424750","2020-04-15 15:42:00"
"04-16-2020","37","70","3","30","10","1","0","","0.000","0.000","1","0.014","0.143","0.014","0.000","0.043","0.429","0.529","","0.0235433","0.014","1.014","74","18204","424750","2020-04-16 16:17:00"
"04-17-2020","38","72","3","31","11","1","0","","0.000","0.000","1","0.014","0.153","0.014","0.000","0.042","0.431","0.528","","0.0235433","0.028","1.029","75","17698","424750","2020-04-17 16:14:00"
"04-18-2020","41","75","3","31","13","1","0","","0.000","0.000","1","0.013","0.173","0.013","0.000","0.040","0.413","0.547","","0.0235433","0.040","1.042","78","16990","424750","2020-04-18 17:14:00"
"04-19-2020","39","77","3","35","15","1","0","","0.000","0.000","1","0.013","0.195","0.013","0.000","0.039","0.455","0.506","","0.0235433","0.026","1.027","80","16549","424750","2020-04-19 16:36:00"
"04-20-2020","38","78","4","36","15","1","0","","0.000","0.000","1","0.013","0.192","0.013","0.000","0.051","0.462","0.487","","0.0313910","0.013","1.013","81","16337","318563","2020-04-20 16:28:00"
"04-21-2020","42","82","4","36","17","1","0","","0.000","0.000","1","0.012","0.207","0.012","0.000","0.049","0.439","0.512","","0.0313910","0.049","1.051","85","15540","318563","2020-04-21 16:32:00"
"04-22-2020","43","85","5","37","20","1","0","","0.000","0.000","1","0.012","0.235","0.012","0.000","0.059","0.435","0.506","","0.0392388","0.035","1.037","88","14991","254850","2020-04-22 16:17:00"
"04-23-2020","45","87","5","37","20","1","0","","0.000","0.000","1","0.011","0.230","0.011","0.000","0.057","0.425","0.517","","0.0392388","0.023","1.024","90","14647","254850","2020-04-23 16:38:00"
"04-24-2020","48","92","5","39","23","1","0","3562","0.000","0.000","1","0.011","0.250","0.011","0.000","0.054","0.424","0.522","0.026","0.0392388","0.054","1.057","95","13851","254850","2020-04-24 16:24:00"
"04-25-2020","52","99","8","39","27","1","1","3746","0.000","0.003","2","0.020","0.273","0.010","0.010","0.081","0.394","0.525","0.026","0.0627820","0.071","1.076","102","12871","159281","2020-04-25 16:50:00"
"04-26-2020","62","111","8","41","35","1","1","3907","0.000","0.003","2","0.018","0.315","0.009","0.009","0.072","0.369","0.559","0.028","0.0627820","0.108","1.121","115","11480","159281","2020-04-26 16:35:00"
"04-27-2020","81","130","8","41","45","1","1","4090","0.000","0.003","2","0.015","0.346","0.008","0.008","0.062","0.315","0.623","0.032","0.0627820","0.146","1.171","136","9802","159281","2020-04-27 16:35:00"
"04-28-2020","90","139","8","41","48","1","1","4208","0.000","0.003","2","0.014","0.345","0.007","0.007","0.058","0.295","0.647","0.033","0.0627820","0.065","1.069","146","9167","159281","2020-04-28 17:13:00"
