"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","Total_Tests","Hospital_Beds_Utilisation","ICU_Beds_Utilisation","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Mortality_Rate","Morbidity_Rate","Ro_Index","Forecasts","Cases_Share_Of_Population","Deaths_Share_Of_Population","Duplication_Days","Morbidity_Increment","Last_Update"
"03-06-2020","1","1","0","0","0","0","0","739","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.001","0.000","0.002","","","50372424","","","","2020-03-06 15:05:00"
"03-07-2020","1","1","0","0","0","0","0","810","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.001","0.000","0.002","1.000","1","50372424","","","0.000",""
"03-08-2020","0","1","0","1","0","0","0","813","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.001","0.000","0.002","1.000","1","50372424","","","0.000",""
"03-09-2020","2","3","0","1","0","0","0","851","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.333","0.667","0.004","0.000","0.006","3.000","5","16790808","","","2.000","2020-03-09 07:26:00"
"03-10-2020","2","3","0","1","0","0","0","927","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.333","0.667","0.003","0.000","0.006","1.000","5","16790808","","","0.000",""
"03-11-2020","8","9","0","1","0","0","0","1133","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.111","0.889","0.008","0.000","0.018","3.000","16","5596936","","","2.000","2020-03-11 08:35:00"
"03-12-2020","13","14","0","1","0","0","0","1393","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.071","0.929","0.010","0.000","0.028","1.556","25","3598030","","1.45","0.556",""
"03-13-2020","17","19","0","2","0","0","0","1754","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.105","0.895","0.011","0.000","0.038","1.357","32","2651180","","1.28","0.357","2020-03-13 09:07:00"
"03-14-2020","34","37","0","3","0","0","0","2343","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.081","0.919","0.016","0.000","0.073","1.947","64","1361417","","1.21","0.947","2020-03-14 09:30:00"
"03-15-2020","49","53","0","4","0","0","0","3176","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.075","0.925","0.017","0.000","0.105","1.432","90","950423","","1.35","0.432","2020-03-15 09:08:00"
"03-16-2020","62","67","1","4","0","0","0","3607","0.000","0.000","0","0.000","0.000","0.000","0.000","0.015","0.060","0.925","0.019","0.020","0.133","1.264","111","751827","50372424","1.40","0.264","2020-03-16 08:39:00"
"03-17-2020","86","92","1","5","0","0","0","3931","0.000","0.000","0","0.000","0.000","0.000","0.000","0.011","0.054","0.935","0.023","0.020","0.183","1.373","150","547526","50372424","1.74","0.373","2020-03-17 08:38:00"
"03-18-2020","98","104","1","5","0","0","0","4690","0.000","0.000","0","0.000","0.000","0.000","0.000","0.010","0.048","0.942","0.022","0.020","0.206","1.130","165","484350","50372424","1.99","0.130","2020-03-18 09:07:00"
"03-19-2020","123","130","1","6","0","0","0","5363","0.000","0.000","0","0.000","0.000","0.000","0.000","0.008","0.046","0.946","0.024","0.020","0.258","1.250","203","387480","50372424","2.31","0.250","2020-03-19 09:51:00"
"03-20-2020","169","178","1","8","0","0","0","5766","0.000","0.000","0","0.000","0.000","0.000","0.000","0.006","0.045","0.949","0.031","0.020","0.353","1.369","276","282991","50372424","2.79","0.369","2020-03-20 11:01:00"
"03-21-2020","199","212","1","12","0","0","1","6064","0.000","0.000","1","0.005","0.000","0.000","0.005","0.005","0.057","0.939","0.035","0.020","0.421","1.191","331","237606","50372424","3.00","0.191","2020-03-21 11:13:00"
"03-22-2020","224","241","2","15","0","0","1","6910","0.000","0.000","1","0.004","0.000","0.000","0.004","0.008","0.062","0.929","0.035","0.040","0.478","1.137","379","209014","25186212","3.21","0.137","2020-03-22 10:17:00"
"03-23-2020","287","314","3","24","0","0","1","7285","0.000","0.000","1","0.003","0.000","0.000","0.003","0.010","0.076","0.914","0.043","0.060","0.623","1.303","456","160422","16790808","3.32","0.303","2020-03-23 11:23:00"
"03-24-2020","380","419","4","35","0","0","1","8051","0.000","0.000","1","0.002","0.000","0.000","0.002","0.010","0.084","0.907","0.052","0.079","0.832","1.334","618","120221","12593106","3.11","0.334","2020-03-24 17:02:00"
"03-25-2020","424","480","8","48","0","0","1","8797","0.000","0.000","1","0.002","0.000","0.000","0.002","0.017","0.100","0.883","0.055","0.159","0.953","1.146","644","104943","6296553","3.22","0.146","2020-03-25 13:39:00"
"03-26-2020","414","490","10","66","0","0","1","9228","0.000","0.000","1","0.002","0.000","0.000","0.002","0.020","0.135","0.845","0.053","0.199","0.973","1.021","639","102801","5037242","3.71","0.021","2020-03-26 14:20:00"
"03-27-2020","442","539","13","84","0","0","1","9486","0.000","0.000","1","0.002","0.000","0.000","0.002","0.024","0.156","0.820","0.057","0.258","1.070","1.100","693","93455","3874802","4.18","0.100","2020-03-27 14:33:00"
"03-28-2020","474","608","18","116","0","1","1","10851","0.000","0.000","2","0.003","0.000","0.002","0.002","0.030","0.191","0.780","0.056","0.357","1.207","1.128","746","82849","2798468","4.84","0.128","2020-03-28 12:48:00"
"03-29-2020","537","702","19","146","0","1","1","12325","0.000","0.000","2","0.003","0.000","0.001","0.001","0.027","0.208","0.765","0.057","0.377","1.394","1.155","847","71756","2651180","5.93","0.155","2020-03-29 14:14:00"
"03-30-2020","592","798","24","182","0","1","2","13816","0.000","0.001","3","0.004","0.000","0.001","0.003","0.030","0.228","0.742","0.058","0.476","1.584","1.137","956","63123","2098851","6.67","0.137","2020-03-30 13:19:00"
"03-31-2020","665","905","29","211","0","1","3","17863","0.000","0.001","4","0.004","0.000","0.001","0.003","0.032","0.233","0.735","0.051","0.576","1.797","1.134","1069","55660","1736980","6.18","0.134","2020-03-31 14:15:00"
"04-01-2020","788","1065","33","244","0","2","4","20253","0.000","0.001","6","0.006","0.000","0.002","0.004","0.031","0.229","0.740","0.053","0.655","2.114","1.177","1261","47298","1526437","5.34","0.177","2020-04-01 13:10:00"
"04-02-2020","844","1161","40","277","0","2","4","21412","0.000","0.001","6","0.005","0.000","0.002","0.003","0.034","0.239","0.727","0.054","0.794","2.305","1.090","1362","43387","1259311","5.28","0.090","2020-04-02 13:40:00"
"04-03-2020","898","1266","53","315","0","4","5","22752","0.000","0.001","9","0.007","0.000","0.003","0.004","0.042","0.249","0.709","0.056","1.052","2.513","1.090","1460","39789","950423","5.55","0.090","2020-04-03 15:13:00"
"04-04-2020","982","1406","68","356","0","5","5","23989","0.000","0.001","10","0.007","0.000","0.004","0.004","0.048","0.253","0.698","0.059","1.350","2.791","1.111","1613","35827","740771","5.96","0.111","2020-04-04 14:30:00"
"04-05-2020","1030","1485","76","379","0","6","5","25547","0.000","0.001","11","0.007","0.000","0.004","0.003","0.051","0.255","0.694","0.058","1.509","2.948","1.056","1695","33921","662795","6.65","0.056","2020-04-05 12:28:00"
"04-06-2020","1086","1579","88","405","0","6","6","27968","0.000","0.002","12","0.008","0.000","0.004","0.004","0.056","0.256","0.688","0.056","1.747","3.135","1.063","1775","31901","572414","7.68","0.063","2020-04-06 15:31:00"
"04-07-2020","1181","1708","96","431","0","8","6","30728","0.000","0.002","14","0.008","0.000","0.005","0.004","0.056","0.252","0.691","0.056","1.906","3.391","1.082","1890","29492","524713","8.86","0.082","2020-04-07 15:41:00"
"04-08-2020","1478","2054","101","475","0","12","8","33858","0.000","0.002","20","0.010","0.000","0.006","0.004","0.049","0.231","0.720","0.061","2.005","4.078","1.203","2281","24524","498737","8.00","0.203","2020-04-08 15:35:00"
"04-09-2020","1590","2223","113","520","0","17","8","35193","0.001","0.002","25","0.011","0.000","0.008","0.004","0.051","0.234","0.715","0.063","2.243","4.413","1.082","2478","22660","445774","7.50","0.082","2020-04-09 16:01:00"
"04-10-2020","1786","2474","118","570","0","20","9","37876","0.001","0.003","29","0.012","0.000","0.008","0.004","0.048","0.230","0.722","0.065","2.343","4.911","1.113","2760","20361","426885","7.02","0.113","2020-04-10 16:05:00"
"04-11-2020","1959","2709","126","624","0","25","11","40618","0.001","0.003","36","0.013","0.000","0.009","0.004","0.047","0.230","0.723","0.067","2.501","5.378","1.095","3016","18594","399781","6.55","0.095","2020-04-11 17:27:00"
"04-12-2020","1919","2776","138","719","0","25","12","41780","0.001","0.003","37","0.013","0.000","0.009","0.004","0.050","0.259","0.691","0.066","2.740","5.511","1.025","3065","18146","365018","6.93","0.025","2020-04-12 15:47:00"
"04-13-2020","1890","2852","145","817","0","28","13","43036","0.001","0.004","41","0.014","0.000","0.010","0.005","0.051","0.286","0.663","0.066","2.879","5.662","1.027","3127","17662","347396","8.30","0.027","2020-04-13 17:21:00"
"04-14-2020","1923","2978","156","899","0","29","13","45351","0.001","0.004","42","0.014","0.000","0.010","0.004","0.052","0.302","0.646","0.066","3.097","5.912","1.044","3246","16915","322900","11.23","0.044","2020-04-14 16:26:00"
"04-15-2020","1935","3103","168","1000","0","30","13","48556","0.001","0.004","43","0.014","0.000","0.010","0.004","0.054","0.322","0.624","0.064","3.335","6.160","1.042","3352","16233","299836","13.64","0.042","2020-04-15 15:42:00"
"04-16-2020","1969","3231","184","1078","0","31","13","52013","0.001","0.004","44","0.014","0.000","0.010","0.004","0.057","0.334","0.609","0.062","3.653","6.414","1.041","3479","15590","273763","16.98","0.041","2020-04-16 16:17:00"
"04-17-2020","2116","3436","188","1132","0","34","13","55501","0.001","0.004","47","0.014","0.000","0.010","0.004","0.055","0.329","0.616","0.062","3.732","6.821","1.063","3693","14660","267938","17.63","0.063","2020-04-17 16:14:00"
"04-18-2020","2229","3619","200","1190","0","37","13","58930","0.001","0.004","50","0.014","0.000","0.010","0.004","0.055","0.329","0.616","0.061","3.970","7.184","1.053","3875","13919","251862","15.53","0.053","2020-04-18 17:14:00"
"04-19-2020","2319","3794","209","1266","0","38","13","62674","0.001","0.004","51","0.013","0.000","0.010","0.003","0.055","0.334","0.611","0.061","4.149","7.532","1.048","4060","13277","241016","14.40","0.048","2020-04-19 16:36:00"
"04-20-2020","2406","3976","218","1352","0","39","13","65097","0.001","0.004","52","0.013","0.000","0.010","0.003","0.055","0.340","0.605","0.061","4.328","7.893","1.048","4251","12669","231066","14.04","0.048","2020-04-20 16:28:00"
"04-21-2020","2480","4147","227","1440","0","46","14","68356","0.001","0.004","60","0.014","0.000","0.011","0.003","0.055","0.347","0.598","0.061","4.506","8.233","1.043","4422","12147","221905","14.02","0.043","2020-04-21 16:32:00"
"04-22-2020","2575","4340","235","1530","0","47","14","71407","0.001","0.004","61","0.014","0.000","0.011","0.003","0.054","0.353","0.593","0.061","4.665","8.616","1.047","4579","11607","214351","14.32","0.047","2020-04-22 16:17:00"
"04-23-2020","2658","4535","244","1633","1","53","15","74864","0.002","0.004","68","0.015","0.000","0.012","0.003","0.054","0.360","0.586","0.061","4.844","9.003","1.045","4773","11107","206444","15.11","0.045","2020-04-23 16:38:00"
"04-24-2020","2856","4839","258","1725","1","66","17","77985","0.002","0.005","83","0.017","0.000","0.014","0.004","0.053","0.356","0.590","0.062","5.122","9.606","1.067","5077","10410","195242","14.75","0.067","2020-04-24 16:24:00"
"04-25-2020","3006","5101","267","1828","2","72","17","81053","0.002","0.005","89","0.017","0.000","0.014","0.003","0.052","0.358","0.589","0.063","5.301","10.127","1.054","5337","9875","188661","14.16","0.054","2020-04-25 16:50:00"
"04-26-2020","3144","5338","285","1909","2","78","19","87106","0.002","0.005","97","0.018","0.000","0.015","0.004","0.053","0.358","0.589","0.061","5.658","10.597","1.046","5593","9437","176745","13.80","0.046","2020-04-26 16:35:00"
"04-27-2020","3266","5556","296","1994","2","79","19","90899","0.002","0.005","98","0.018","0.000","0.014","0.003","0.053","0.359","0.588","0.061","5.876","11.030","1.041","5827","9066","170177","13.77","0.041","2020-04-27 16:35:00"
"04-28-2020","3507","5910","307","2096","2","84","20","95085","0.003","0.006","104","0.018","0.000","0.014","0.003","0.052","0.355","0.593","0.062","6.095","11.733","1.064","6207","8523","164080","13.57","0.064","2020-04-28 17:13:00"
"04-29-2020","3618","6171","326","2227","2","97","24","100153","0.003","0.007","121","0.020","0.000","0.016","0.004","0.053","0.361","0.586","0.062","6.472","12.251","1.044","6482","8163","154517","13.77","0.044","2020-04-29 16:23:00"
"04-30-2020","3831","6467","347","2289","2","103","25","104657","0.003","0.007","128","0.020","0.000","0.016","0.004","0.054","0.354","0.592","0.062","6.889","12.838","1.048","6796","7789","145165","14.35","0.048","2020-04-30 17:24:00"
"05-01-2020","4208","6968","358","2402","3","125","26","108950","0.004","0.007","151","0.022","0.000","0.018","0.004","0.051","0.345","0.604","0.064","7.107","13.833","1.077","7329","7229","140705","13.63","0.077","2020-05-01 16:30:00"
"05-02-2020","4344","7246","377","2525","4","133","30","114602","0.004","0.009","163","0.022","0.001","0.018","0.004","0.052","0.348","0.600","0.063","7.484","14.385","1.040","7615","6952","133614","13.30","0.040","2020-05-02 17:05:00"
"05-03-2020","4651","7669","395","2623","4","138","30","118801","0.004","0.009","168","0.022","0.001","0.018","0.004","0.052","0.342","0.606","0.065","7.842","15.225","1.058","8065","6568","127525","12.97","0.058","2020-05-03 16:46:00"
"05-04-2020","4799","7976","415","2762","4","147","30","123029","0.004","0.009","177","0.022","0.001","0.018","0.004","0.052","0.346","0.602","0.065","8.239","15.834","1.040","8383","6315","121379","13.41","0.040","2020-05-04 16:44:00"
"05-05-2020","5123","8617","430","3064","4","164","36","127105","0.005","0.010","200","0.023","0.000","0.019","0.004","0.050","0.356","0.595","0.068","8.536","17.107","1.080","9080","5846","117145","12.79","0.080","2020-05-05 17:32:00"
"05-06-2020","5224","8964","453","3287","4","173","40","131110","0.005","0.011","213","0.024","0.000","0.019","0.004","0.051","0.367","0.583","0.068","8.993","17.795","1.040","9441","5619","111197","12.94","0.040","2020-05-06 17:20:00"
