"Report_date","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","Hospital_Beds_Utilisation","ICU_Beds_Utilisation","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Mortality_Rate","Morbidity_Rate","Ro_Index","Forecasts","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"03-06-2020","1","1","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","","","","7743955","","2020-03-06 15:05:00"
"03-07-2020","1","1","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","","7743955","",""
"03-08-2020","1","1","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","","7743955","",""
"03-09-2020","1","1","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","","7743955","","2020-03-09 07:26:00"
"03-10-2020","1","1","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.000","1.000","","7743955","",""
"03-11-2020","3","3","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.667","3.000","","2581318","","2020-03-11 08:35:00"
"03-12-2020","5","5","0","0","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.000","1.000","","0.0000000","0.400","1.667","","1548791","",""
"03-13-2020","5","6","0","1","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.167","0.833","","0.0000000","0.167","1.200","","1290659","","2020-03-13 09:07:00"
"03-14-2020","14","16","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.125","0.875","","0.0000000","0.625","2.667","","483997","","2020-03-14 09:30:00"
"03-15-2020","24","26","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.077","0.923","","0.0000000","0.385","1.625","","297844","","2020-03-15 09:08:00"
"03-16-2020","30","32","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.063","0.938","","0.0000000","0.188","1.231","","241999","","2020-03-16 08:39:00"
"03-17-2020","37","39","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.051","0.949","","0.0000000","0.179","1.219","59","198563","","2020-03-17 08:38:00"
"03-18-2020","42","44","0","2","0","0","0","","0.000","0.000","0","0.000","0.000","0.000","0.000","0.000","0.045","0.955","","0.0000000","0.114","1.128","65","175999","","2020-03-18 09:07:00"
"03-19-2020","50","52","0","2","2","0","0","","0.000","0.000","0","0.000","0.038","0.000","0.000","0.000","0.038","0.962","","0.0000000","0.154","1.182","76","148922","","2020-03-19 09:51:00"
"03-20-2020","76","79","0","3","2","0","0","","0.000","0.000","0","0.000","0.025","0.000","0.000","0.000","0.038","0.962","","0.0000000","0.342","1.519","115","98025","","2020-03-20 11:01:00"
"03-21-2020","78","84","0","6","2","0","0","","0.000","0.000","0","0.000","0.024","0.000","0.000","0.000","0.071","0.929","","0.0000000","0.060","1.063","123","92190","","2020-03-21 11:13:00"
"03-22-2020","80","88","0","8","2","0","0","","0.000","0.000","0","0.000","0.023","0.000","0.000","0.000","0.091","0.909","","0.0000000","0.045","1.048","129","87999","","2020-03-22 10:17:00"
